nome,descrizione,categoria,tags,quartiere,lat,lon
Castel dell'Ovo,"The Castel dell'Ovo is the oldest castle in Naples, located on the Megaride islet. Its history is surrounded by legends, such as the one about the magical egg hidden by Virgil, which was said to ensure the stability of the fortress. Over the centuries, the castle has served various roles: royal residence, monastery, and prison. Today, it offers a breathtaking view of the Gulf of Naples and hosts cultural events in its charming halls.",Monument,"Sea, Historical, Scenic views",Borgo Marinari,40.8297,14.2471
Museo Archeologico Nazionale,"The National Archaeological Museum of Naples is one of the most important museums of its kind in the world. Located in a historic building, it houses an extraordinary collection of archaeological artifacts, including mosaics, statues, and objects from the excavations of Pompeii and Herculaneum. Among its most famous works are the ""Farnese Bull"" and the ""Egyptian Collection."" The museum offers an unforgettable journey through the history and art of classical antiquity.",Museum,"Art, History, Archeology",Centro Storico,40.852,14.2514
Pizzeria Sobillo,"Pizzeria Sorbillo is an icon of Neapolitan tradition and a true temple for pizza lovers. Located in the heart of Naples, on Via dei Tribunali, it is famous for its pizzas made with the highest quality ingredients, following recipes that respect tradition. The restaurant, run by the historic Sorbillo family, is often crowded with locals and tourists seeking the authentic Neapolitan pizza experience. Every bite is a journey into the flavors and culture of Naples.",Restaurant,"Food, Tradition",Via dei Tribunali,40.8525,14.2581
Spaccanapoli,"Spaccanapoli is one of the most famous and iconic streets in Naples, cutting through the historic center like a ""backbone."" Walking along this street means immersing yourself in the true essence of the city, among historic churches, ancient buildings, and artisan shops. Along Spaccanapoli, you can feel the vibrant Neapolitan atmosphere, filled with unique sounds, colors, and scents. It is a place where history and daily life intertwine in a fascinating way.",Neighborhood,"History, Culture",Centro Storico,40.8495,14.257
Castel Nuovo (Maschio Angioino),"Castel Nuovo, also known as Maschio Angioino, is one of the most recognizable symbols of Naples. This imposing medieval castle, located near the port, was built in the 13th century during the reign of the Angevins and later expanded by the Aragonese. In addition to its majestic architecture, it houses the Palatine Chapel and the Civic Museum, where paintings, sculptures, and historical artifacts are displayed. Its strategic location also offers beautiful views of the Gulf of Naples.",Monument,"History, Architecture",Piazza Municipio,40.8389,14.2541
Piazza del Plebiscito,"Piazza del Plebiscito is one of the largest and most impressive squares in Naples, a symbol of the city and a venue for major cultural events and celebrations. Located between the Royal Palace and the Basilica of San Francesco di Paola, it stands out for its majestic symmetry and vast open space. The square is an iconic landmark where history and architecture come together, creating a unique atmosphere that captivates both locals and visitors.",Square,"History, Culture",Centro Storico,40.8355,14.2489
Palazzo Reale,"The Palazzo Reale di Napoli is a stunning architectural masterpiece in the heart of the city. Built in the 17th century, it was the residence of Spanish, Bourbon, and Savoy monarchs. Its elegant façade features arches and statues of historical rulers. Inside, you can explore opulent rooms adorned with frescoes, grand chandeliers, and intricate tapestries, offering a glimpse into the royal splendor of Naples' past.",Monument,"Architecture, History, Royalty, Cultural Heritage",Piazza Plebiscito,40.8352,14.2481
Teatro San Carlo,"The Teatro San Carlo, located in Napoli, is the oldest opera house in Europe still in operation, dating back to 1737. Renowned for its breathtaking architecture and exceptional acoustics, it has hosted some of the finest composers and performers in history. The lavish interior features gold embellishments, a grand chandelier, and a royal box, epitomizing elegance and cultural prestige. Attending a performance here is an unforgettable journey into the heart of Italy's musical heritage.",Theater,"Music, Architecture, History, Performing Arts",Centro Storico,40.8371,14.2484
Via Toledo,"Via Toledo is one of the most vibrant and historic streets in Napoli, stretching for nearly 1.2 kilometers. Known for its lively atmosphere, this bustling avenue is lined with elegant buildings, fashionable shops, and charming cafes. It serves as a gateway to key landmarks like Piazza Dante and Piazza del Plebiscito. Strolling along Via Toledo is a delightful journey through the cultural heart of Naples, offering a blend of modern life and centuries-old traditions.",Shopping,"Shopping, Culture, History, Local Life",Centro Storico,40.8448,14.2487
Galleria Umberto I,"The Galleria Umberto I is a magnificent 19th-century shopping arcade and cultural hub in Napoli. Its grand glass dome and intricate iron framework create a breathtaking architectural centerpiece. The gallery is adorned with elegant marble floors and impressive decorative details, housing boutiques, cafes, and historical charm. A walk through Galleria Umberto I offers a unique blend of shopping, history, and art in one of Naples' most iconic locations.",Architecture,"Architecture, Shopping, Art, History",Centro Storico,40.8378,14.2493
